               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.038111,            0.023118,            0.016832,             0.31101,            0.075515,            0.030451,           0.0072837,            0.038298,            0.029118,            0.017746,           0.0066835,           0.0066835,           0.0066835
                  69,            0.038101,            0.024476,            0.016686,             0.26384,            0.083473,            0.034204,           0.0076707,            0.038178,            0.028891,            0.017591,            0.006634,            0.006634,            0.006634
                  70,            0.038351,            0.023601,            0.016418,             0.27596,             0.10228,            0.047435,             0.01092,            0.037977,            0.028189,            0.016669,           0.0065845,           0.0065845,           0.0065845
                  71,            0.038379,            0.022863,            0.016238,              0.2768,             0.10011,            0.047637,            0.010574,            0.037747,            0.028476,            0.016454,            0.006535,            0.006535,            0.006535
                  72,            0.038549,            0.023406,            0.015948,             0.28187,             0.10526,            0.045439,            0.010603,            0.037795,            0.028798,            0.016659,           0.0064855,           0.0064855,           0.0064855
                  73,            0.037474,             0.02486,            0.015851,             0.28276,             0.12316,            0.051638,             0.01229,             0.03737,            0.028956,            0.016205,            0.006436,            0.006436,            0.006436
                  74,             0.03747,            0.023386,             0.01545,             0.28238,             0.11499,            0.048171,            0.011799,            0.037469,            0.028661,            0.015972,           0.0063865,           0.0063865,           0.0063865
                  75,            0.036986,            0.022848,            0.015194,             0.24962,             0.08524,            0.026676,           0.0051042,             0.03782,            0.028231,            0.015476,            0.006337,            0.006337,            0.006337
                  76,            0.038039,            0.023202,            0.015084,             0.28306,             0.10698,            0.050781,            0.013048,            0.037272,             0.02934,            0.015391,           0.0062875,           0.0062875,           0.0062875
                  77,            0.037018,            0.023384,            0.014814,             0.23519,             0.10547,            0.037051,           0.0076894,            0.037683,            0.029197,            0.015395,            0.006238,            0.006238,            0.006238
                  78,            0.037151,            0.023851,            0.014475,             0.25204,             0.14391,            0.062879,             0.01445,            0.037426,            0.029098,             0.01504,           0.0061885,           0.0061885,           0.0061885
                  79,            0.037198,            0.024651,            0.014366,             0.21177,             0.14055,            0.061341,            0.015475,            0.037577,            0.028826,            0.015183,            0.006139,            0.006139,            0.006139
                  80,            0.037722,            0.023538,             0.01424,              0.2561,             0.13272,            0.062728,            0.013914,            0.037222,            0.029428,            0.014634,           0.0060895,           0.0060895,           0.0060895
                  81,            0.036997,            0.024614,            0.013898,             0.10077,             0.16943,            0.077827,            0.017856,            0.037025,            0.028834,            0.014198,             0.00604,             0.00604,             0.00604
                  82,            0.036425,            0.025102,            0.013578,             0.15044,             0.13622,            0.063049,            0.015124,             0.03715,            0.029754,              0.0141,           0.0059905,           0.0059905,           0.0059905
                  83,            0.035507,            0.024274,            0.013573,             0.21365,             0.14874,            0.061946,            0.014871,             0.03749,            0.030184,            0.013881,            0.005941,            0.005941,            0.005941
                  84,            0.036799,            0.023918,            0.013328,             0.20212,             0.17849,             0.06949,            0.017213,            0.036723,            0.029713,            0.013316,           0.0058915,           0.0058915,           0.0058915
                  85,            0.035964,             0.02481,            0.013124,              0.1719,             0.17598,            0.047019,            0.010046,            0.037724,            0.028645,            0.013306,            0.005842,            0.005842,            0.005842
                  86,             0.03693,            0.024463,             0.01286,              0.2121,             0.16065,            0.071301,            0.017179,            0.037064,            0.029414,            0.014903,           0.0057925,           0.0057925,           0.0057925
                  87,            0.037224,             0.02284,            0.012615,              0.1249,             0.13558,            0.049809,             0.01018,            0.036382,            0.029297,            0.012682,            0.005743,            0.005743,            0.005743
                  88,            0.035877,            0.024738,            0.012511,             0.13163,            0.077803,             0.01512,           0.0025396,            0.038493,            0.028795,            0.014011,           0.0056935,           0.0056935,           0.0056935
                  89,            0.037158,            0.022312,            0.012186,             0.16427,             0.19639,            0.075413,            0.017532,            0.036622,            0.029107,            0.012402,            0.005644,            0.005644,            0.005644
                  90,            0.035319,            0.023993,            0.012042,             0.11787,             0.21368,            0.093537,            0.023567,            0.036025,            0.029177,            0.012245,           0.0055945,           0.0055945,           0.0055945
                  91,            0.036065,            0.024565,            0.012005,             0.27752,             0.21717,             0.10216,            0.024391,            0.036261,            0.030148,            0.012267,            0.005545,            0.005545,            0.005545
                  92,             0.03643,            0.023665,            0.011711,             0.16099,             0.21043,            0.088259,            0.021511,            0.036456,            0.029762,            0.011821,           0.0054955,           0.0054955,           0.0054955
                  93,            0.036275,            0.023014,            0.011426,             0.15425,             0.19835,            0.084406,            0.021226,            0.036404,            0.029455,            0.011536,            0.005446,            0.005446,            0.005446
                  94,            0.035155,            0.023253,            0.011252,             0.17726,             0.21167,             0.09779,            0.023042,            0.035727,             0.02973,             0.01145,           0.0053965,           0.0053965,           0.0053965
                  95,            0.035271,            0.022981,            0.011036,             0.15655,             0.21695,             0.08236,            0.019267,            0.036084,            0.029995,            0.011094,            0.005347,            0.005347,            0.005347
                  96,            0.036004,            0.022983,            0.010875,             0.23505,             0.19122,            0.086335,            0.017442,            0.035865,            0.030007,            0.011317,           0.0052975,           0.0052975,           0.0052975
                  97,            0.035845,            0.022881,            0.010818,             0.12882,             0.13091,             0.05537,            0.010354,            0.036045,            0.029299,            0.011078,            0.005248,            0.005248,            0.005248
                  98,            0.034905,            0.023167,            0.010649,              0.2533,              0.1865,            0.070527,            0.015237,            0.036164,            0.031222,            0.011354,           0.0051985,           0.0051985,           0.0051985
                  99,            0.036039,            0.023289,            0.010359,             0.26743,             0.17616,            0.078656,            0.015658,            0.035602,            0.031016,            0.010973,            0.005149,            0.005149,            0.005149
                 100,            0.034914,            0.023516,            0.010164,             0.20592,            0.078947,            0.033568,           0.0060939,            0.036321,            0.031159,             0.01115,           0.0050995,           0.0050995,           0.0050995
                 101,            0.035499,            0.022521,            0.010097,             0.18957,             0.19245,            0.071676,            0.015749,            0.036273,            0.031108,             0.01102,             0.00505,             0.00505,             0.00505
                 102,            0.033514,            0.024454,            0.010005,             0.13376,             0.20018,             0.10174,            0.019888,            0.035149,            0.030346,            0.010555,           0.0050005,           0.0050005,           0.0050005
                 103,            0.033769,            0.023604,           0.0098388,             0.13901,             0.16648,            0.065034,            0.013992,            0.035932,            0.030112,            0.010696,            0.004951,            0.004951,            0.004951
                 104,            0.035512,            0.023269,           0.0097571,             0.12163,              0.2095,              0.1001,            0.020123,            0.034777,            0.031254,            0.010129,           0.0049015,           0.0049015,           0.0049015
