               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.029601,            0.021053,           0.0023203,             0.55123,             0.41909,             0.41738,             0.12067,            0.030192,            0.014341,           0.0019877,           0.0087328,           0.0087328,           0.0087328
                  66,            0.028884,            0.020095,           0.0019414,               0.522,             0.41161,              0.3879,             0.10596,            0.030261,            0.014303,           0.0019858,            0.008713,            0.008713,            0.008713
                  67,            0.029573,            0.021102,            0.002173,             0.51546,             0.45365,             0.40855,             0.11021,            0.030063,              0.0143,           0.0020066,           0.0086932,           0.0086932,           0.0086932
                  68,             0.02937,            0.019412,           0.0021672,             0.50312,             0.44007,             0.40251,             0.11044,            0.030049,            0.014333,           0.0020151,           0.0086734,           0.0086734,           0.0086734
                  69,            0.028679,            0.020725,           0.0020251,              0.4693,             0.46151,             0.41034,             0.13712,            0.029813,            0.014434,           0.0020371,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02884,            0.019807,           0.0021243,             0.46615,             0.47441,             0.40455,             0.13067,            0.030006,            0.014437,           0.0019926,           0.0086338,           0.0086338,           0.0086338
                  71,            0.029379,            0.021594,           0.0022275,             0.46224,             0.46889,             0.40183,             0.13698,            0.030035,            0.014513,           0.0019802,            0.008614,            0.008614,            0.008614
                  72,            0.028655,            0.022125,           0.0020443,             0.48076,             0.47423,             0.41357,             0.14601,            0.029619,             0.01444,            0.001977,           0.0085942,           0.0085942,           0.0085942
                  73,            0.029063,            0.020392,           0.0020785,             0.48205,             0.48121,             0.40998,             0.14467,            0.029602,            0.014477,           0.0019761,           0.0085744,           0.0085744,           0.0085744
                  74,            0.028754,             0.02151,            0.002019,             0.48108,             0.46923,             0.40771,             0.13742,            0.029422,            0.014534,           0.0019555,           0.0085546,           0.0085546,           0.0085546
                  75,            0.028724,            0.019757,            0.002077,             0.48763,             0.46132,             0.40956,             0.13475,            0.029664,            0.014504,           0.0019695,           0.0085348,           0.0085348,           0.0085348
                  76,            0.029583,            0.020879,           0.0023629,             0.49658,             0.45443,              0.4166,             0.13332,            0.030004,            0.014309,           0.0020019,            0.008515,            0.008515,            0.008515
                  77,            0.030082,            0.021379,           0.0022098,              0.4768,             0.42225,             0.38221,             0.12808,            0.029996,            0.014474,           0.0019897,           0.0084952,           0.0084952,           0.0084952
                  78,            0.028888,             0.02047,           0.0019894,             0.44544,             0.45125,             0.37366,             0.12026,            0.030484,            0.014324,           0.0019804,           0.0084754,           0.0084754,           0.0084754
                  79,            0.029613,            0.020064,           0.0022476,             0.44701,             0.45686,             0.37156,             0.11867,            0.030371,            0.014319,           0.0019767,           0.0084556,           0.0084556,           0.0084556
                  80,            0.029475,            0.020654,           0.0022561,             0.46459,             0.44792,             0.38105,             0.11922,            0.030269,            0.014425,           0.0019868,           0.0084358,           0.0084358,           0.0084358
                  81,            0.028952,            0.021658,           0.0021996,             0.45249,             0.45321,             0.37996,             0.12572,            0.030115,            0.014558,           0.0020072,            0.008416,            0.008416,            0.008416
                  82,            0.029286,            0.021301,           0.0023373,             0.45947,             0.45935,             0.40275,             0.12355,            0.029947,            0.014435,            0.002002,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027958,            0.020412,           0.0019015,             0.48069,             0.42874,             0.39635,             0.12658,             0.03015,            0.014513,           0.0020155,           0.0083764,           0.0083764,           0.0083764
                  84,            0.028327,            0.019699,           0.0020012,             0.43112,             0.45557,               0.383,             0.12344,             0.03009,            0.014615,           0.0020089,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027171,            0.020843,           0.0017114,             0.47513,              0.4471,             0.38463,             0.11988,            0.029798,            0.014602,           0.0019997,           0.0083368,           0.0083368,           0.0083368
                  86,             0.02852,            0.020058,           0.0021281,             0.48273,             0.45394,             0.40958,             0.11937,            0.029763,            0.014656,           0.0020036,            0.008317,            0.008317,            0.008317
                  87,            0.028069,            0.021655,           0.0019927,             0.46636,             0.46605,             0.40781,             0.13375,            0.029767,            0.014789,           0.0019907,           0.0082972,           0.0082972,           0.0082972
                  88,            0.029073,            0.019716,           0.0022284,             0.52395,             0.43941,              0.4159,             0.13861,            0.029799,            0.014688,           0.0019666,           0.0082774,           0.0082774,           0.0082774
                  89,            0.028218,            0.019397,           0.0019972,             0.49363,             0.41771,             0.38602,              0.1343,            0.029958,            0.014383,           0.0019554,           0.0082576,           0.0082576,           0.0082576
                  90,            0.029571,            0.020187,           0.0023255,             0.51182,             0.46922,             0.42721,             0.15148,             0.02935,            0.014475,           0.0019746,           0.0082378,           0.0082378,           0.0082378
                  91,            0.029074,            0.021294,           0.0021599,             0.50395,             0.44981,             0.41972,              0.1463,            0.029582,            0.014561,           0.0019854,            0.008218,            0.008218,            0.008218
                  92,            0.029655,            0.021328,           0.0022897,              0.5258,             0.45015,             0.42852,             0.15285,            0.029165,            0.014487,           0.0019892,           0.0081982,           0.0081982,           0.0081982
                  93,            0.029219,            0.021808,           0.0021957,             0.52927,             0.44411,             0.41964,             0.14288,            0.029388,            0.014456,           0.0019855,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028471,            0.021859,           0.0020189,             0.49996,             0.45312,             0.40387,              0.1318,            0.029585,            0.014382,           0.0019759,           0.0081586,           0.0081586,           0.0081586
                  95,            0.028325,            0.022002,             0.00208,             0.53731,             0.46472,             0.40938,             0.12981,            0.029447,             0.01442,           0.0019568,           0.0081388,           0.0081388,           0.0081388
                  96,            0.028433,            0.021044,           0.0020534,             0.51726,             0.47487,               0.431,              0.1405,            0.029362,            0.014434,           0.0019858,            0.008119,            0.008119,            0.008119
                  97,             0.02911,            0.019042,           0.0021119,             0.51961,             0.45414,             0.41222,             0.13207,            0.029484,            0.014266,            0.001982,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030138,            0.019762,           0.0022841,             0.51477,             0.43153,             0.40704,             0.12594,            0.029411,            0.014324,           0.0019805,           0.0080794,           0.0080794,           0.0080794
                  99,            0.028401,            0.018299,           0.0020655,             0.51487,             0.45358,             0.42901,             0.12572,            0.029597,            0.014423,           0.0019796,           0.0080596,           0.0080596,           0.0080596
                 100,            0.028819,             0.01998,           0.0020709,              0.5012,             0.45325,             0.41922,             0.12572,            0.029959,             0.01446,           0.0019972,           0.0080398,           0.0080398,           0.0080398
                 101,            0.028415,            0.020508,           0.0020942,             0.49176,             0.46297,             0.40182,             0.12295,            0.029757,            0.014456,           0.0019929,             0.00802,             0.00802,             0.00802
                 102,            0.028309,            0.020677,           0.0021009,             0.48363,             0.46991,             0.40575,             0.13096,            0.029698,            0.014522,           0.0019854,           0.0080002,           0.0080002,           0.0080002
                 103,            0.029265,             0.02045,           0.0023265,             0.46609,             0.45943,             0.41076,             0.13747,            0.029818,            0.014424,           0.0019823,           0.0079804,           0.0079804,           0.0079804
                 104,            0.027438,            0.020473,           0.0019991,             0.46539,             0.43508,              0.3859,             0.13683,            0.029566,            0.014511,           0.0019731,           0.0079606,           0.0079606,           0.0079606
                 105,            0.029044,            0.020533,           0.0022805,             0.51805,             0.42769,             0.40953,              0.1386,            0.029496,            0.014472,           0.0019772,           0.0079408,           0.0079408,           0.0079408
                 106,            0.028034,            0.019925,            0.001976,              0.4962,             0.44085,              0.4002,             0.13406,            0.029516,            0.014551,           0.0019637,            0.007921,            0.007921,            0.007921
                 107,            0.028053,            0.019939,           0.0020557,             0.50607,             0.44248,               0.399,             0.13079,            0.029544,             0.01457,           0.0019641,           0.0079012,           0.0079012,           0.0079012
                 108,            0.028471,            0.020012,           0.0021821,             0.52994,             0.44379,             0.41033,             0.13214,            0.029493,            0.014606,           0.0019695,           0.0078814,           0.0078814,           0.0078814
                 109,            0.028235,            0.020095,           0.0021798,             0.47266,             0.47406,             0.41455,             0.13986,            0.029671,            0.014503,           0.0019789,           0.0078616,           0.0078616,           0.0078616
                 110,            0.028556,             0.02115,           0.0020885,             0.52342,             0.42714,             0.41524,             0.13896,            0.029678,            0.014645,           0.0019505,           0.0078418,           0.0078418,           0.0078418
                 111,            0.027955,            0.019953,           0.0022126,             0.47069,             0.46384,             0.40863,             0.13764,             0.02979,            0.014599,           0.0019369,            0.007822,            0.007822,            0.007822
                 112,            0.027834,            0.022277,           0.0019374,             0.46538,             0.45145,             0.39858,             0.13358,            0.029922,            0.014522,           0.0019549,           0.0078022,           0.0078022,           0.0078022
                 113,            0.027726,            0.021963,           0.0020138,             0.47154,             0.48528,             0.40313,             0.13654,            0.030123,             0.01449,           0.0019617,           0.0077824,           0.0077824,           0.0077824
                 114,            0.028056,            0.019672,           0.0021153,             0.45457,              0.4639,             0.38156,             0.12888,            0.030383,            0.014488,           0.0019364,           0.0077626,           0.0077626,           0.0077626
                 115,            0.028059,            0.020125,           0.0020655,             0.48324,             0.45734,             0.39814,             0.13043,            0.030121,            0.014595,           0.0019235,           0.0077428,           0.0077428,           0.0077428
                 116,             0.02773,            0.019385,           0.0021005,             0.42747,             0.44532,             0.37649,             0.12204,            0.030425,            0.014659,           0.0019487,            0.007723,            0.007723,            0.007723
                 117,            0.028651,            0.021752,           0.0021578,             0.45551,             0.47147,             0.39617,             0.12769,            0.030445,            0.014499,           0.0019518,           0.0077032,           0.0077032,           0.0077032
                 118,            0.028745,            0.020837,           0.0022409,             0.47586,             0.38921,             0.36465,             0.11913,             0.03077,            0.014477,           0.0019792,           0.0076834,           0.0076834,           0.0076834
                 119,            0.027913,            0.020699,           0.0018349,             0.49326,             0.43749,             0.39754,              0.1403,            0.029676,            0.014449,           0.0019578,           0.0076636,           0.0076636,           0.0076636
                 120,            0.027953,            0.020087,           0.0019831,             0.47824,             0.44094,             0.39105,             0.13705,            0.029831,            0.014355,           0.0019604,           0.0076438,           0.0076438,           0.0076438
                 121,            0.028991,            0.020889,           0.0022062,             0.45188,             0.43653,              0.3936,             0.13433,            0.030257,            0.014416,           0.0019743,            0.007624,            0.007624,            0.007624
                 122,            0.027349,            0.020541,           0.0018858,             0.47845,             0.47625,             0.41094,             0.14128,             0.02992,            0.014467,           0.0019505,           0.0076042,           0.0076042,           0.0076042
                 123,            0.028407,            0.019834,            0.002123,             0.50969,             0.46623,             0.42901,             0.14607,            0.029554,            0.014514,           0.0019584,           0.0075844,           0.0075844,           0.0075844
                 124,            0.026743,            0.020818,            0.001899,             0.46751,             0.42378,             0.38536,             0.12737,            0.030099,            0.014648,           0.0019473,           0.0075646,           0.0075646,           0.0075646
                 125,            0.028109,            0.020451,           0.0020744,             0.45896,             0.42486,             0.38019,             0.12902,            0.030217,            0.014665,           0.0019485,           0.0075448,           0.0075448,           0.0075448
                 126,            0.027015,            0.020599,           0.0019336,             0.51186,             0.39482,              0.3822,             0.13313,            0.030132,            0.014802,           0.0019452,            0.007525,            0.007525,            0.007525
                 127,            0.027978,            0.019902,           0.0020244,             0.43769,             0.45126,             0.38442,             0.13443,            0.030087,            0.014907,           0.0019447,           0.0075052,           0.0075052,           0.0075052
                 128,            0.028122,            0.021683,           0.0021137,             0.43786,             0.44009,             0.36532,             0.12496,            0.030495,            0.015022,           0.0019588,           0.0074854,           0.0074854,           0.0074854
                 129,             0.02801,            0.022323,           0.0019793,             0.43007,             0.44951,              0.3668,             0.12402,            0.030468,            0.014767,           0.0019632,           0.0074656,           0.0074656,           0.0074656
                 130,            0.027878,            0.020493,           0.0020451,             0.45016,             0.46799,             0.38589,             0.13291,            0.030014,            0.014523,           0.0019785,           0.0074458,           0.0074458,           0.0074458
                 131,            0.026422,            0.021743,           0.0018931,             0.48855,             0.46523,             0.41637,             0.14232,            0.029656,             0.01448,           0.0019666,            0.007426,            0.007426,            0.007426
                 132,            0.026869,            0.019887,           0.0018422,             0.48235,             0.44992,             0.40983,             0.13673,            0.030153,            0.014456,           0.0019669,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027571,            0.020386,           0.0020307,             0.46629,             0.46292,             0.38891,              0.1324,            0.030355,            0.014424,           0.0019735,           0.0073864,           0.0073864,           0.0073864
                 134,            0.028672,            0.021319,           0.0021814,              0.4738,             0.44974,             0.41354,             0.14241,            0.030018,            0.014583,           0.0019688,           0.0073666,           0.0073666,           0.0073666
                 135,            0.028321,            0.021163,           0.0022245,             0.50974,             0.44442,             0.40598,             0.14001,            0.030028,            0.014486,           0.0019873,           0.0073468,           0.0073468,           0.0073468
                 136,            0.028646,            0.018493,           0.0021324,             0.50154,             0.44279,             0.40413,             0.13374,            0.030433,            0.014427,           0.0019893,            0.007327,            0.007327,            0.007327
                 137,            0.028415,            0.020531,           0.0020502,             0.51252,             0.43146,             0.41995,             0.14017,            0.029906,            0.014482,            0.001982,           0.0073072,           0.0073072,           0.0073072
                 138,            0.028262,            0.020485,           0.0021227,             0.49858,             0.44914,             0.39991,             0.12884,            0.030152,            0.014485,           0.0019976,           0.0072874,           0.0072874,           0.0072874
                 139,            0.028479,            0.019456,           0.0019803,             0.48658,             0.48325,             0.42578,             0.15099,            0.029617,            0.014453,           0.0019911,           0.0072676,           0.0072676,           0.0072676
                 140,            0.027892,            0.021452,           0.0018976,             0.49329,             0.46575,             0.40841,             0.14601,            0.029454,            0.014489,           0.0019858,           0.0072478,           0.0072478,           0.0072478
                 141,            0.027294,             0.01979,           0.0019635,              0.4909,             0.45946,             0.41395,             0.13882,            0.029592,            0.014548,           0.0019919,            0.007228,            0.007228,            0.007228
                 142,            0.026714,            0.020295,           0.0017979,             0.48759,             0.47007,             0.42359,             0.14211,            0.029469,            0.014724,           0.0019964,           0.0072082,           0.0072082,           0.0072082
                 143,            0.027939,            0.021863,           0.0021537,              0.5165,             0.45548,              0.4233,             0.14953,            0.029377,            0.014809,           0.0019927,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027562,            0.020806,           0.0019863,             0.51631,             0.42638,             0.40195,             0.14251,            0.029803,            0.014725,           0.0019614,           0.0071686,           0.0071686,           0.0071686
                 145,            0.027698,            0.020798,           0.0021444,             0.51102,              0.4709,             0.42084,             0.14453,            0.029899,            0.014583,           0.0019795,           0.0071488,           0.0071488,           0.0071488
                 146,            0.027233,            0.020764,           0.0019056,             0.47015,              0.4443,             0.40234,             0.14298,            0.029679,            0.014633,           0.0019845,            0.007129,            0.007129,            0.007129
                 147,            0.028084,            0.021293,           0.0022244,             0.53544,             0.41269,             0.40787,              0.1393,            0.029665,            0.014756,           0.0019681,           0.0071092,           0.0071092,           0.0071092
                 148,             0.02743,            0.019722,           0.0020707,              0.5079,             0.45406,             0.41048,             0.14529,            0.029878,            0.014624,           0.0019787,           0.0070894,           0.0070894,           0.0070894
                 149,            0.028144,            0.020878,           0.0020945,             0.52772,             0.42743,             0.42707,             0.15388,            0.029523,            0.014752,           0.0019814,           0.0070696,           0.0070696,           0.0070696
                 150,            0.027799,            0.020713,           0.0020613,             0.50577,             0.45423,             0.40733,             0.14473,            0.029718,            0.014792,           0.0019827,           0.0070498,           0.0070498,           0.0070498
                 151,            0.027117,            0.019219,           0.0019528,             0.51031,             0.44874,             0.41433,             0.14098,            0.029812,            0.014745,           0.0019656,             0.00703,             0.00703,             0.00703
                 152,            0.026845,            0.020334,           0.0018568,             0.50408,             0.43571,             0.39781,             0.13955,            0.029873,            0.014718,           0.0019563,           0.0070102,           0.0070102,           0.0070102
                 153,            0.027339,            0.020686,            0.001977,             0.47332,              0.4548,             0.38915,              0.1365,            0.030049,            0.014756,           0.0019474,           0.0069904,           0.0069904,           0.0069904
                 154,            0.028079,            0.021752,           0.0022156,             0.49876,             0.46977,             0.40349,             0.14022,            0.029991,            0.014641,           0.0019533,           0.0069706,           0.0069706,           0.0069706
                 155,            0.026979,            0.021841,           0.0018251,             0.47887,             0.43601,             0.38242,             0.12997,            0.030169,            0.014555,           0.0019455,           0.0069508,           0.0069508,           0.0069508
                 156,            0.027608,             0.02178,            0.002175,             0.46765,             0.44604,             0.37886,             0.12659,            0.030105,            0.014689,           0.0019289,            0.006931,            0.006931,            0.006931
                 157,             0.02846,            0.020219,           0.0021832,             0.47892,             0.46169,             0.39939,             0.13177,            0.030191,            0.014623,           0.0019361,           0.0069112,           0.0069112,           0.0069112
